INDICATOR,YEAR,WHOREGION,COUNTRY,EXPENDITURES
Per capita total expenditure on health (PPP int. $),2002,Africa,Cabo Verde,111.1
Per capita total expenditure on health (PPP int. $),2003,Africa,Cabo Verde,112.7
Per capita total expenditure on health (PPP int. $),2012,Africa,Cabo Verde,166.4
Per capita total expenditure on health (PPP int. $),2004,Africa,Cabo Verde,120.7
Per capita total expenditure on health (PPP int. $),2005,Africa,Cabo Verde,131.2
Per capita total expenditure on health (PPP int. $),2011,Africa,Cabo Verde,165.1
Per capita total expenditure on health at average exchange rate (US$),1997,Africa,Cabo Verde,56
Per capita total expenditure on health at average exchange rate (US$),1995,Africa,Cabo Verde,64.9
Per capita total expenditure on health at average exchange rate (US$),2002,Africa,Cabo Verde,70
Per capita total expenditure on health at average exchange rate (US$),2001,Africa,Cabo Verde,64.8
Per capita total expenditure on health at average exchange rate (US$),2003,Africa,Cabo Verde,87.1
Per capita total expenditure on health at average exchange rate (US$),1996,Africa,Cabo Verde,59.6
Per capita total expenditure on health at average exchange rate (US$),1998,Africa,Cabo Verde,64.7
Per capita total expenditure on health at average exchange rate (US$),2000,Africa,Cabo Verde,58.6
Per capita total expenditure on health at average exchange rate (US$),1999,Africa,Cabo Verde,63.9
Per capita total expenditure on health at average exchange rate (US$),2005,Africa,Cabo Verde,102.7
Per capita total expenditure on health at average exchange rate (US$),2010,Africa,Cabo Verde,145.3
Per capita total expenditure on health at average exchange rate (US$),2009,Africa,Cabo Verde,149.5
Per capita total expenditure on health at average exchange rate (US$),2007,Africa,Cabo Verde,134.6
Per capita total expenditure on health at average exchange rate (US$),2012,Africa,Cabo Verde,144.2
Per capita total expenditure on health at average exchange rate (US$),2006,Africa,Cabo Verde,125.4
Per capita total expenditure on health at average exchange rate (US$),2004,Africa,Cabo Verde,98.8
Per capita total expenditure on health at average exchange rate (US$),2008,Africa,Cabo Verde,146.3
Per capita total expenditure on health at average exchange rate (US$),2011,Africa,Cabo Verde,153
Per capita government expenditure on health (PPP int. $),2005,Western Pacific,Cambodia,23.1
Per capita government expenditure on health (PPP int. $),2003,Western Pacific,Cambodia,27.6
Per capita government expenditure on health (PPP int. $),2008,Western Pacific,Cambodia,20.8
Per capita government expenditure on health (PPP int. $),2001,Western Pacific,Cambodia,12.7
Per capita government expenditure on health (PPP int. $),1997,Western Pacific,Cambodia,14.2
Per capita government expenditure on health (PPP int. $),2007,Western Pacific,Cambodia,20.1
Per capita government expenditure on health (PPP int. $),2009,Western Pacific,Cambodia,24.8
Per capita government expenditure on health (PPP int. $),1999,Western Pacific,Cambodia,9.7
Per capita government expenditure on health (PPP int. $),2000,Western Pacific,Cambodia,12.1
Per capita government expenditure on health (PPP int. $),2006,Western Pacific,Cambodia,16.1
Per capita government expenditure on health (PPP int. $),2002,Western Pacific,Cambodia,15.9
Per capita government expenditure on health (PPP int. $),1996,Western Pacific,Cambodia,17.3
Per capita government expenditure on health (PPP int. $),1995,Western Pacific,Cambodia,7.1
Per capita government expenditure on health (PPP int. $),1998,Western Pacific,Cambodia,9.8
Per capita government expenditure on health (PPP int. $),2010,Western Pacific,Cambodia,28.1
Per capita government expenditure on health (PPP int. $),2011,Western Pacific,Cambodia,29.1
Per capita government expenditure on health (PPP int. $),2004,Western Pacific,Cambodia,30
Per capita government expenditure on health (PPP int. $),2012,Western Pacific,Cambodia,33.4
Per capita government expenditure on health at average exchange rate (US$),2005,Western Pacific,Cambodia,7.2
Per capita government expenditure on health at average exchange rate (US$),2006,Western Pacific,Cambodia,5.1
Per capita government expenditure on health at average exchange rate (US$),1997,Western Pacific,Cambodia,5.7
Per capita government expenditure on health at average exchange rate (US$),2003,Western Pacific,Cambodia,8.5
Per capita government expenditure on health at average exchange rate (US$),1999,Western Pacific,Cambodia,3.3
Per capita government expenditure on health at average exchange rate (US$),1998,Western Pacific,Cambodia,3.4
Per capita government expenditure on health at average exchange rate (US$),2002,Western Pacific,Cambodia,5
Per capita government expenditure on health at average exchange rate (US$),2009,Western Pacific,Cambodia,9
Per capita government expenditure on health at average exchange rate (US$),2012,Western Pacific,Cambodia,12.7
Per capita government expenditure on health at average exchange rate (US$),1995,Western Pacific,Cambodia,3.3
Per capita government expenditure on health at average exchange rate (US$),2000,Western Pacific,Cambodia,3.9
Per capita government expenditure on health at average exchange rate (US$),2007,Western Pacific,Cambodia,6.7
Per capita government expenditure on health at average exchange rate (US$),1996,Western Pacific,Cambodia,7.7
Per capita government expenditure on health at average exchange rate (US$),2010,Western Pacific,Cambodia,10.2
Per capita government expenditure on health at average exchange rate (US$),2011,Western Pacific,Cambodia,11.1
Per capita government expenditure on health at average exchange rate (US$),2001,Western Pacific,Cambodia,4
Per capita government expenditure on health at average exchange rate (US$),2008,Western Pacific,Cambodia,7.6
Per capita government expenditure on health at average exchange rate (US$),2004,Western Pacific,Cambodia,9.3
Per capita total expenditure on health (PPP int. $),1998,Western Pacific,Cambodia,53.8
Per capita total expenditure on health (PPP int. $),1997,Western Pacific,Cambodia,59.4
Per capita total expenditure on health (PPP int. $),1999,Western Pacific,Cambodia,53.1
Per capita total expenditure on health (PPP int. $),2004,Western Pacific,Cambodia,92.6
Per capita total expenditure on health (PPP int. $),1996,Western Pacific,Cambodia,67.4
Per capita total expenditure on health (PPP int. $),2002,Western Pacific,Cambodia,68.9
Per capita total expenditure on health (PPP int. $),2007,Western Pacific,Cambodia,84.9
Per capita total expenditure on health (PPP int. $),2003,Western Pacific,Cambodia,85.8
Per capita total expenditure on health (PPP int. $),2000,Western Pacific,Cambodia,59.1
Per capita total expenditure on health (PPP int. $),1995,Western Pacific,Cambodia,42
Per capita total expenditure on health (PPP int. $),2001,Western Pacific,Cambodia,63.1
Per capita total expenditure on health (PPP int. $),2008,Western Pacific,Cambodia,111.6
Per capita total expenditure on health (PPP int. $),2006,Western Pacific,Cambodia,91.2
Per capita total expenditure on health (PPP int. $),2005,Western Pacific,Cambodia,104.7
Per capita total expenditure on health (PPP int. $),2009,Western Pacific,Cambodia,127.3
Per capita total expenditure on health (PPP int. $),2010,Western Pacific,Cambodia,125.1
Per capita total expenditure on health (PPP int. $),2011,Western Pacific,Cambodia,128.6
Per capita total expenditure on health (PPP int. $),2012,Western Pacific,Cambodia,135.3
Per capita total expenditure on health at average exchange rate (US$),1998,Western Pacific,Cambodia,18.6
Per capita total expenditure on health at average exchange rate (US$),1995,Western Pacific,Cambodia,19.6
Per capita total expenditure on health at average exchange rate (US$),2003,Western Pacific,Cambodia,26.4
Per capita total expenditure on health at average exchange rate (US$),2007,Western Pacific,Cambodia,28.1
Per capita total expenditure on health at average exchange rate (US$),2000,Western Pacific,Cambodia,18.9
Per capita total expenditure on health at average exchange rate (US$),1999,Western Pacific,Cambodia,18.1
Per capita total expenditure on health at average exchange rate (US$),2001,Western Pacific,Cambodia,19.9
Per capita total expenditure on health at average exchange rate (US$),1997,Western Pacific,Cambodia,24
Per capita total expenditure on health at average exchange rate (US$),2006,Western Pacific,Cambodia,28.8
Per capita total expenditure on health at average exchange rate (US$),2002,Western Pacific,Cambodia,21.6
Per capita total expenditure on health at average exchange rate (US$),2004,Western Pacific,Cambodia,28.7
Per capita total expenditure on health at average exchange rate (US$),1996,Western Pacific,Cambodia,29.9
Per capita total expenditure on health at average exchange rate (US$),2005,Western Pacific,Cambodia,32.7
Per capita total expenditure on health at average exchange rate (US$),2009,Western Pacific,Cambodia,46
Per capita total expenditure on health at average exchange rate (US$),2011,Western Pacific,Cambodia,48.8
Per capita total expenditure on health at average exchange rate (US$),2012,Western Pacific,Cambodia,51.3
Per capita total expenditure on health at average exchange rate (US$),2008,Western Pacific,Cambodia,40.5
Per capita total expenditure on health at average exchange rate (US$),2010,Western Pacific,Cambodia,45.6
Per capita government expenditure on health (PPP int. $),1996,Africa,Cameroon,12.5
Per capita government expenditure on health (PPP int. $),2000,Africa,Cameroon,15.1
Per capita government expenditure on health (PPP int. $),2001,Africa,Cameroon,19
Per capita government expenditure on health (PPP int. $),1998,Africa,Cameroon,11.9
Per capita government expenditure on health (PPP int. $),1995,Africa,Cameroon,12.1
Per capita government expenditure on health (PPP int. $),1997,Africa,Cameroon,14.3
Per capita government expenditure on health (PPP int. $),2002,Africa,Cameroon,22.4
Per capita government expenditure on health (PPP int. $),2003,Africa,Cameroon,23.9
Per capita government expenditure on health (PPP int. $),2004,Africa,Cameroon,21.1
Per capita government expenditure on health (PPP int. $),2006,Africa,Cameroon,21.5
Per capita government expenditure on health (PPP int. $),2005,Africa,Cameroon,21.5
Per capita government expenditure on health (PPP int. $),2008,Africa,Cameroon,21.8
Per capita government expenditure on health (PPP int. $),2007,Africa,Cameroon,22.1
Per capita government expenditure on health (PPP int. $),1999,Africa,Cameroon,13
Per capita government expenditure on health (PPP int. $),2009,Africa,Cameroon,28.7
Per capita government expenditure on health (PPP int. $),2012,Africa,Cameroon,40.3
Per capita government expenditure on health (PPP int. $),2010,Africa,Cameroon,34.3
Per capita government expenditure on health (PPP int. $),2011,Africa,Cameroon,41.7
Per capita government expenditure on health at average exchange rate (US$),1998,Africa,Cameroon,5.1
Per capita government expenditure on health at average exchange rate (US$),1999,Africa,Cameroon,5.4
Per capita government expenditure on health at average exchange rate (US$),1995,Africa,Cameroon,5.9
Per capita government expenditure on health at average exchange rate (US$),2001,Africa,Cameroon,6.7
Per capita government expenditure on health at average exchange rate (US$),2003,Africa,Cameroon,10.5
Per capita government expenditure on health at average exchange rate (US$),1996,Africa,Cameroon,6
Per capita government expenditure on health at average exchange rate (US$),2006,Africa,Cameroon,10.4
Per capita government expenditure on health at average exchange rate (US$),2000,Africa,Cameroon,5.4
Per capita government expenditure on health at average exchange rate (US$),1997,Africa,Cameroon,6.1
Per capita government expenditure on health at average exchange rate (US$),2004,Africa,Cameroon,10.1
Per capita government expenditure on health at average exchange rate (US$),2010,Africa,Cameroon,17.3
Per capita government expenditure on health at average exchange rate (US$),2011,Africa,Cameroon,22.3
Per capita government expenditure on health at average exchange rate (US$),2002,Africa,Cameroon,8.4
Per capita government expenditure on health at average exchange rate (US$),2007,Africa,Cameroon,11.4
Per capita government expenditure on health at average exchange rate (US$),2008,Africa,Cameroon,12.5
Per capita government expenditure on health at average exchange rate (US$),2005,Africa,Cameroon,10.2
Per capita government expenditure on health at average exchange rate (US$),2009,Africa,Cameroon,14.9
Per capita government expenditure on health at average exchange rate (US$),2012,Africa,Cameroon,19.8
Per capita total expenditure on health (PPP int. $),1995,Africa,Cameroon,52
Per capita total expenditure on health (PPP int. $),1997,Africa,Cameroon,67.8
Per capita total expenditure on health (PPP int. $),2000,Africa,Cameroon,71.9
Per capita total expenditure on health (PPP int. $),2001,Africa,Cameroon,78.6
Per capita total expenditure on health (PPP int. $),2002,Africa,Cameroon,83.8
Per capita total expenditure on health (PPP int. $),2003,Africa,Cameroon,88.5
Per capita total expenditure on health (PPP int. $),1999,Africa,Cameroon,69.2
Per capita total expenditure on health (PPP int. $),1996,Africa,Cameroon,72.3
Per capita total expenditure on health (PPP int. $),1998,Africa,Cameroon,66.9
Per capita total expenditure on health (PPP int. $),2006,Africa,Cameroon,95.3
Per capita total expenditure on health (PPP int. $),2007,Africa,Cameroon,97.4
Per capita total expenditure on health (PPP int. $),2011,Africa,Cameroon,120.1
Per capita total expenditure on health (PPP int. $),2008,Africa,Cameroon,105.3
Per capita total expenditure on health (PPP int. $),2010,Africa,Cameroon,113.7
Per capita total expenditure on health (PPP int. $),2012,Africa,Cameroon,120.2
Per capita total expenditure on health (PPP int. $),2004,Africa,Cameroon,86.4
Per capita total expenditure on health (PPP int. $),2005,Africa,Cameroon,93.7
Per capita total expenditure on health (PPP int. $),2009,Africa,Cameroon,108.1
Per capita total expenditure on health at average exchange rate (US$),1995,Africa,Cameroon,25.2
Per capita total expenditure on health at average exchange rate (US$),2000,Africa,Cameroon,25.9
Per capita total expenditure on health at average exchange rate (US$),2001,Africa,Cameroon,27.5
Per capita total expenditure on health at average exchange rate (US$),2002,Africa,Cameroon,31.3
Per capita total expenditure on health at average exchange rate (US$),2012,Africa,Cameroon,59.1
Per capita total expenditure on health at average exchange rate (US$),2010,Africa,Cameroon,57.3
Per capita total expenditure on health at average exchange rate (US$),2005,Africa,Cameroon,44.6
Per capita total expenditure on health at average exchange rate (US$),2006,Africa,Cameroon,46.1
Per capita total expenditure on health at average exchange rate (US$),2007,Africa,Cameroon,50.4
Per capita total expenditure on health at average exchange rate (US$),1998,Africa,Cameroon,28.8
Per capita total expenditure on health at average exchange rate (US$),2009,Africa,Cameroon,56.3
Per capita total expenditure on health at average exchange rate (US$),2011,Africa,Cameroon,64.1
Per capita total expenditure on health at average exchange rate (US$),1999,Africa,Cameroon,28.6
Per capita total expenditure on health at average exchange rate (US$),1997,Africa,Cameroon,28.8
Per capita total expenditure on health at average exchange rate (US$),1996,Africa,Cameroon,34.5
Per capita total expenditure on health at average exchange rate (US$),2003,Africa,Cameroon,39
Per capita total expenditure on health at average exchange rate (US$),2004,Africa,Cameroon,41.4
Per capita total expenditure on health at average exchange rate (US$),2008,Africa,Cameroon,60.4
Per capita government expenditure on health (PPP int. $),1998,Americas,Canada,1631.6
Per capita government expenditure on health (PPP int. $),2001,Americas,Canada,1915.3
Per capita government expenditure on health (PPP int. $),1999,Americas,Canada,1691.2
Per capita government expenditure on health (PPP int. $),1997,Americas,Canada,1510.5
Per capita government expenditure on health (PPP int. $),2011,Americas,Canada,3196.7
Per capita government expenditure on health (PPP int. $),2002,Americas,Canada,2000.5
Per capita government expenditure on health (PPP int. $),1996,Americas,Canada,1456.3
Per capita government expenditure on health (PPP int. $),1995,Americas,Canada,1463.5
Per capita government expenditure on health (PPP int. $),2000,Americas,Canada,1773
Per capita government expenditure on health (PPP int. $),2003,Americas,Canada,2148.1
Per capita government expenditure on health (PPP int. $),2008,Americas,Canada,2817.2
Per capita government expenditure on health (PPP int. $),2010,Americas,Canada,3153.1
Per capita government expenditure on health (PPP int. $),2012,Americas,Canada,3275.6
Per capita government expenditure on health (PPP int. $),2007,Americas,Canada,2695
Per capita government expenditure on health (PPP int. $),2004,Americas,Canada,2264.6
Per capita government expenditure on health (PPP int. $),2005,Americas,Canada,2420.8
Per capita government expenditure on health (PPP int. $),2006,Americas,Canada,2557.6
Per capita government expenditure on health (PPP int. $),2009,Americas,Canada,3064.2
Per capita government expenditure on health at average exchange rate (US$),1996,Americas,Canada,1295.5
Per capita government expenditure on health at average exchange rate (US$),2003,Americas,Canada,1880.2
Per capita government expenditure on health at average exchange rate (US$),1995,Americas,Canada,1297.1
Per capita government expenditure on health at average exchange rate (US$),1997,Americas,Canada,1315.7
Per capita government expenditure on health at average exchange rate (US$),1999,Americas,Canada,1355.5
Per capita government expenditure on health at average exchange rate (US$),2000,Americas,Canada,1470.5
Per capita government expenditure on health at average exchange rate (US$),2002,Americas,Canada,1567.1
Per capita government expenditure on health at average exchange rate (US$),2001,Americas,Canada,1506
Per capita government expenditure on health at average exchange rate (US$),2007,Americas,Canada,3039.1
Per capita government expenditure on health at average exchange rate (US$),2008,Americas,Canada,3259
Per capita government expenditure on health at average exchange rate (US$),2004,Americas,Canada,2142.4
Per capita government expenditure on health at average exchange rate (US$),2010,Americas,Canada,3731.4
Per capita government expenditure on health at average exchange rate (US$),1998,Americas,Canada,1306.1
Per capita government expenditure on health at average exchange rate (US$),2011,Americas,Canada,3981.6
Per capita government expenditure on health at average exchange rate (US$),2006,Americas,Canada,2723.3
Per capita government expenditure on health at average exchange rate (US$),2005,Americas,Canada,2424.6
Per capita government expenditure on health at average exchange rate (US$),2009,Americas,Canada,3211.1
Per capita government expenditure on health at average exchange rate (US$),2012,Americas,Canada,4021.6
Per capita total expenditure on health (PPP int. $),2000,Americas,Canada,2520.3
Per capita total expenditure on health (PPP int. $),2007,Americas,Canada,3839.5
Per capita total expenditure on health (PPP int. $),2009,Americas,Canada,4320.7
Per capita total expenditure on health (PPP int. $),2008,Americas,Canada,3996.4
Per capita total expenditure on health (PPP int. $),2010,Americas,Canada,4455.8
Per capita total expenditure on health (PPP int. $),2012,Americas,Canada,4675.9
Per capita total expenditure on health (PPP int. $),1996,Americas,Canada,2057.7
Per capita total expenditure on health (PPP int. $),1997,Americas,Canada,2154.1
Per capita total expenditure on health (PPP int. $),1998,Americas,Canada,2312.2
Per capita total expenditure on health (PPP int. $),2011,Americas,Canada,4541.4
Per capita total expenditure on health (PPP int. $),1999,Americas,Canada,2417.3
Per capita total expenditure on health (PPP int. $),2001,Americas,Canada,2737.1
Per capita total expenditure on health (PPP int. $),2002,Americas,Canada,2877.5
Per capita total expenditure on health (PPP int. $),2003,Americas,Canada,3061.3
Per capita total expenditure on health (PPP int. $),2004,Americas,Canada,3220.3
Per capita total expenditure on health (PPP int. $),2005,Americas,Canada,3446.7
Per capita total expenditure on health (PPP int. $),2006,Americas,Canada,3666.5
Per capita total expenditure on health (PPP int. $),1995,Americas,Canada,2054.1
Per capita total expenditure on health at average exchange rate (US$),1996,Americas,Canada,1830.5
Per capita total expenditure on health at average exchange rate (US$),1998,Americas,Canada,1851
Per capita total expenditure on health at average exchange rate (US$),1995,Americas,Canada,1820.5
Per capita total expenditure on health at average exchange rate (US$),2001,Americas,Canada,2152.2
Per capita total expenditure on health at average exchange rate (US$),2007,Americas,Canada,4329.7
Per capita total expenditure on health at average exchange rate (US$),2010,Americas,Canada,5273
Per capita total expenditure on health at average exchange rate (US$),2011,Americas,Canada,5656.4
Per capita total expenditure on health at average exchange rate (US$),1997,Americas,Canada,1876.4
Per capita total expenditure on health at average exchange rate (US$),2004,Americas,Canada,3046.5
Per capita total expenditure on health at average exchange rate (US$),2008,Americas,Canada,4623.1
Per capita total expenditure on health at average exchange rate (US$),1999,Americas,Canada,1937.4
Per capita total expenditure on health at average exchange rate (US$),2000,Americas,Canada,2090.2
Per capita total expenditure on health at average exchange rate (US$),2002,Americas,Canada,2254.1
Per capita total expenditure on health at average exchange rate (US$),2012,Americas,Canada,5740.7
Per capita total expenditure on health at average exchange rate (US$),2003,Americas,Canada,2679.6
Per capita total expenditure on health at average exchange rate (US$),2005,Americas,Canada,3452
Per capita total expenditure on health at average exchange rate (US$),2006,Americas,Canada,3903.9
Per capita total expenditure on health at average exchange rate (US$),2009,Americas,Canada,4527.7
Per capita government expenditure on health (PPP int. $),2005,Africa,Central African Republic,14.9
Per capita government expenditure on health (PPP int. $),2012,Africa,Central African Republic,16
Per capita government expenditure on health (PPP int. $),1997,Africa,Central African Republic,9.4
Per capita government expenditure on health (PPP int. $),1995,Africa,Central African Republic,10.7
Per capita government expenditure on health (PPP int. $),2002,Africa,Central African Republic,14.5
Per capita government expenditure on health (PPP int. $),2010,Africa,Central African Republic,15.4
Per capita government expenditure on health (PPP int. $),2011,Africa,Central African Republic,16.4
Per capita government expenditure on health (PPP int. $),2008,Africa,Central African Republic,17.6
Per capita government expenditure on health (PPP int. $),1996,Africa,Central African Republic,8.9
Per capita government expenditure on health (PPP int. $),2001,Africa,Central African Republic,13.2
Per capita government expenditure on health (PPP int. $),2007,Africa,Central African Republic,17.3
Per capita government expenditure on health (PPP int. $),1998,Africa,Central African Republic,9
Per capita government expenditure on health (PPP int. $),2009,Africa,Central African Republic,11.6
Per capita government expenditure on health (PPP int. $),2006,Africa,Central African Republic,14.2
Per capita government expenditure on health (PPP int. $),2004,Africa,Central African Republic,12.3
Per capita government expenditure on health (PPP int. $),1999,Africa,Central African Republic,12.8
Per capita government expenditure on health (PPP int. $),2003,Africa,Central African Republic,13.7
Per capita government expenditure on health (PPP int. $),2000,Africa,Central African Republic,14.7
Per capita government expenditure on health at average exchange rate (US$),1995,Africa,Central African Republic,5.6
Per capita government expenditure on health at average exchange rate (US$),2004,Africa,Central African Republic,6.1
Per capita government expenditure on health at average exchange rate (US$),2003,Africa,Central African Republic,6.3
Per capita government expenditure on health at average exchange rate (US$),2005,Africa,Central African Republic,7.4
Per capita government expenditure on health at average exchange rate (US$),1997,Africa,Central African Republic,4.2
Per capita government expenditure on health at average exchange rate (US$),1996,Africa,Central African Republic,4.6
Per capita government expenditure on health at average exchange rate (US$),1999,Africa,Central African Republic,5.4
Per capita government expenditure on health at average exchange rate (US$),2012,Africa,Central African Republic,8.8
Per capita government expenditure on health at average exchange rate (US$),2001,Africa,Central African Republic,4.8
Per capita government expenditure on health at average exchange rate (US$),2000,Africa,Central African Republic,5.4
Per capita government expenditure on health at average exchange rate (US$),2007,Africa,Central African Republic,9.5
Per capita government expenditure on health at average exchange rate (US$),2011,Africa,Central African Republic,9.7
Per capita government expenditure on health at average exchange rate (US$),2008,Africa,Central African Republic,10.9
Per capita government expenditure on health at average exchange rate (US$),2006,Africa,Central African Republic,7.2
Per capita government expenditure on health at average exchange rate (US$),1998,Africa,Central African Republic,4
Per capita government expenditure on health at average exchange rate (US$),2002,Africa,Central African Republic,5.5
Per capita government expenditure on health at average exchange rate (US$),2009,Africa,Central African Republic,7
Per capita government expenditure on health at average exchange rate (US$),2010,Africa,Central African Republic,8.9
Per capita total expenditure on health (PPP int. $),2001,Africa,Central African Republic,27.6
Per capita total expenditure on health (PPP int. $),2009,Africa,Central African Republic,27.7
Per capita total expenditure on health (PPP int. $),2003,Africa,Central African Republic,28
Per capita total expenditure on health (PPP int. $),2006,Africa,Central African Republic,29
Per capita total expenditure on health (PPP int. $),1998,Africa,Central African Republic,23.8
Per capita total expenditure on health (PPP int. $),1999,Africa,Central African Republic,27.6
Per capita total expenditure on health (PPP int. $),1995,Africa,Central African Republic,25.2
Per capita total expenditure on health (PPP int. $),2004,Africa,Central African Republic,27.2
Per capita total expenditure on health (PPP int. $),1996,Africa,Central African Republic,23.5
Per capita total expenditure on health (PPP int. $),2010,Africa,Central African Republic,30.8
Per capita total expenditure on health (PPP int. $),1997,Africa,Central African Republic,24.1
Per capita total expenditure on health (PPP int. $),2012,Africa,Central African Republic,32.2
Per capita total expenditure on health (PPP int. $),2007,Africa,Central African Republic,32.4
Per capita total expenditure on health (PPP int. $),2002,Africa,Central African Republic,28.9
Per capita total expenditure on health (PPP int. $),2000,Africa,Central African Republic,29.4
Per capita total expenditure on health (PPP int. $),2005,Africa,Central African Republic,29.7
Per capita total expenditure on health (PPP int. $),2011,Africa,Central African Republic,31.8
Per capita total expenditure on health (PPP int. $),2008,Africa,Central African Republic,33.1
Per capita total expenditure on health at average exchange rate (US$),2012,Africa,Central African Republic,17.8
Per capita total expenditure on health at average exchange rate (US$),2000,Africa,Central African Republic,10.8
Per capita total expenditure on health at average exchange rate (US$),1998,Africa,Central African Republic,10.5
Per capita total expenditure on health at average exchange rate (US$),2004,Africa,Central African Republic,13.5
Per capita total expenditure on health at average exchange rate (US$),2007,Africa,Central African Republic,17.8
Per capita total expenditure on health at average exchange rate (US$),2008,Africa,Central African Republic,20.4
Per capita total expenditure on health at average exchange rate (US$),2001,Africa,Central African Republic,10
Per capita total expenditure on health at average exchange rate (US$),2002,Africa,Central African Republic,11.1
Per capita total expenditure on health at average exchange rate (US$),2003,Africa,Central African Republic,13
Per capita total expenditure on health at average exchange rate (US$),1995,Africa,Central African Republic,13.2
Per capita total expenditure on health at average exchange rate (US$),2005,Africa,Central African Republic,14.9
Per capita total expenditure on health at average exchange rate (US$),1999,Africa,Central African Republic,11.6
Per capita total expenditure on health at average exchange rate (US$),2006,Africa,Central African Republic,14.8
Per capita total expenditure on health at average exchange rate (US$),2009,Africa,Central African Republic,16.6
Per capita total expenditure on health at average exchange rate (US$),2010,Africa,Central African Republic,17.7
Per capita total expenditure on health at average exchange rate (US$),1997,Africa,Central African Republic,10.7
Per capita total expenditure on health at average exchange rate (US$),1996,Africa,Central African Republic,12
Per capita total expenditure on health at average exchange rate (US$),2011,Africa,Central African Republic,19
Per capita government expenditure on health (PPP int. $),2010,Africa,Chad,14.2
Per capita government expenditure on health (PPP int. $),2006,Africa,Chad,17.4
Per capita government expenditure on health (PPP int. $),1996,Africa,Chad,13
Per capita government expenditure on health (PPP int. $),2012,Africa,Chad,13.1
Per capita government expenditure on health (PPP int. $),2011,Africa,Chad,12
Per capita government expenditure on health (PPP int. $),2009,Africa,Chad,12.3
Per capita government expenditure on health (PPP int. $),1997,Africa,Chad,12.9
Per capita government expenditure on health (PPP int. $),1999,Africa,Chad,13.4
Per capita government expenditure on health (PPP int. $),2001,Africa,Chad,17.4
Per capita government expenditure on health (PPP int. $),2000,Africa,Chad,17.6
Per capita government expenditure on health (PPP int. $),2003,Africa,Chad,23.5
Per capita government expenditure on health (PPP int. $),2005,Africa,Chad,26.1
Per capita government expenditure on health (PPP int. $),2002,Africa,Chad,19.1
Per capita government expenditure on health (PPP int. $),2004,Africa,Chad,20.8
Per capita government expenditure on health (PPP int. $),2008,Africa,Chad,10.2
Per capita government expenditure on health (PPP int. $),2007,Africa,Chad,13.1
Per capita government expenditure on health (PPP int. $),1998,Africa,Chad,11.5
Per capita government expenditure on health (PPP int. $),1995,Africa,Chad,12.7
Per capita government expenditure on health at average exchange rate (US$),1997,Africa,Chad,4
Per capita government expenditure on health at average exchange rate (US$),2000,Africa,Chad,4.5
Per capita government expenditure on health at average exchange rate (US$),2002,Africa,Chad,5.5
Per capita government expenditure on health at average exchange rate (US$),2006,Africa,Chad,7.6
Per capita government expenditure on health at average exchange rate (US$),2008,Africa,Chad,5.8
Per capita government expenditure on health at average exchange rate (US$),2011,Africa,Chad,7.4
Per capita government expenditure on health at average exchange rate (US$),2005,Africa,Chad,10.3
Per capita government expenditure on health at average exchange rate (US$),1998,Africa,Chad,3.8
Per capita government expenditure on health at average exchange rate (US$),1995,Africa,Chad,4.2
Per capita government expenditure on health at average exchange rate (US$),2001,Africa,Chad,4.8
Per capita government expenditure on health at average exchange rate (US$),2009,Africa,Chad,6
Per capita government expenditure on health at average exchange rate (US$),2010,Africa,Chad,7.3
Per capita government expenditure on health at average exchange rate (US$),2003,Africa,Chad,8
Per capita government expenditure on health at average exchange rate (US$),1999,Africa,Chad,3.8
Per capita government expenditure on health at average exchange rate (US$),1996,Africa,Chad,4.6
Per capita government expenditure on health at average exchange rate (US$),2007,Africa,Chad,6.4
Per capita government expenditure on health at average exchange rate (US$),2012,Africa,Chad,7.8
Per capita government expenditure on health at average exchange rate (US$),2004,Africa,Chad,8.3
Per capita total expenditure on health (PPP int. $),1996,Africa,Chad,35
Per capita total expenditure on health (PPP int. $),1997,Africa,Chad,36.7
Per capita total expenditure on health (PPP int. $),2001,Africa,Chad,43.7
Per capita total expenditure on health (PPP int. $),2003,Africa,Chad,50.1
Per capita total expenditure on health (PPP int. $),1999,Africa,Chad,39.6
Per capita total expenditure on health (PPP int. $),2002,Africa,Chad,61.6
Per capita total expenditure on health (PPP int. $),2005,Africa,Chad,63.5
Per capita total expenditure on health (PPP int. $),1995,Africa,Chad,36.6
Per capita total expenditure on health (PPP int. $),2011,Africa,Chad,40.6
Per capita total expenditure on health (PPP int. $),2012,Africa,Chad,41.9
Per capita total expenditure on health (PPP int. $),2010,Africa,Chad,57.1
Per capita total expenditure on health (PPP int. $),2000,Africa,Chad,41.4
Per capita total expenditure on health (PPP int. $),2006,Africa,Chad,54.1
Per capita total expenditure on health (PPP int. $),2007,Africa,Chad,56.3
Per capita total expenditure on health (PPP int. $),2004,Africa,Chad,58.5
Per capita total expenditure on health (PPP int. $),1998,Africa,Chad,37.6
Per capita total expenditure on health (PPP int. $),2008,Africa,Chad,47.3
Per capita total expenditure on health (PPP int. $),2009,Africa,Chad,57.5
Per capita total expenditure on health at average exchange rate (US$),1996,Africa,Chad,12.2
Per capita total expenditure on health at average exchange rate (US$),2008,Africa,Chad,27.1
Per capita total expenditure on health at average exchange rate (US$),2007,Africa,Chad,27.5
Per capita total expenditure on health at average exchange rate (US$),2003,Africa,Chad,17
